,start station id,start station name,start station latitude,start station longitude
316,2008,Little West St & 1 Pl,40.70569254,-74.01677685
318,457,Broadway & W 58 St,40.76695317,-73.98169333
320,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956
329,306,Cliff St & Fulton St,40.70823502,-74.00530063
344,300,Shevchenko Pl & E 7 St,40.728145,-73.990214
347,537,Lexington Ave & E 24 St,40.74025878,-73.98409214
351,137,E 56 St & Madison Ave,40.761628,-73.972924
352,486,Broadway & W 29 St,40.7462009,-73.98855723
357,478,11 Ave & W 41 St,40.76030096,-73.99884222
358,345,W 13 St & 6 Ave,40.73649403,-73.99704374
359,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386
364,481,S 3 St & Bedford Ave,40.71260486,-73.96264403
365,242,Carlton Ave & Flushing Ave,40.697787,-73.973736
368,168,W 18 St & 6 Ave,40.73971301,-73.99456405
373,391,Clark St & Henry St,40.69760127,-73.99344559
382,472,E 32 St & Park Ave,40.745712100000006,-73.98194829
386,465,Broadway & W 41 St,40.75513557,-73.98658032
391,473,Rivington St & Chrystie St,40.72110063,-73.99192540000001
396,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712
397,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171
403,505,6 Ave & W 33 St,40.74901271,-73.98848395
404,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183
411,265,Stanton St & Chrystie St,40.72229346,-73.99147535
412,349,Rivington St & Ridge St,40.71850211,-73.98329859
414,304,Broadway & Battery Pl,40.70463334,-74.01361706
419,150,E 2 St & Avenue C,40.720873600000004,-73.98085795
424,434,9 Ave & W 18 St,40.74317449,-74.00366443
430,533,Broadway & W 39 St,40.75299641,-73.98721619
431,3109,Banker St & Meserole Ave,40.72606,-73.95621
437,290,2 Ave & E 58 St,40.76020258,-73.96478473
442,469,Broadway & W 53 St,40.76344058,-73.98268129
452,3047,Halsey St & Tompkins Ave,40.682368700000005,-73.944118
453,281,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465
464,301,E 2 St & Avenue B,40.72217444,-73.98368779
465,2006,Central Park S & 6 Ave,40.76590936,-73.97634151
472,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354
478,3088,Union Ave & Jackson St,40.7160751,-73.95202900000001
483,458,11 Ave & W 27 St,40.751396,-74.00522600000001
487,3090,N 8 St & Driggs Ave,40.71774592,-73.95600096
489,461,E 20 St & 2 Ave,40.73587678,-73.98205027
495,264,Maiden Ln & Pearl St,40.70706456,-74.00731853
499,282,Kent Ave & S 11 St,40.70827295,-73.96834101
533,146,Hudson St & Reade St,40.71625008,-74.0091059
536,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324
539,3079,Leonard St & Grand St,40.71103537,-73.94714303
544,261,Johnson St & Gold St,40.69474881,-73.98362464
546,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041
554,223,W 13 St & 7 Ave,40.73781509,-73.99994661
563,295,Pike St & E Broadway,40.71406667,-73.99293911
564,3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417
567,499,Broadway & W 60 St,40.76915505,-73.98191841
569,408,Market St & Cherry St,40.71076228,-73.99400398
